id,length,start_time,trip_time,edge_start,edge_end
1405,4.37,428.6,11.6,9_2,2_6
1406,4.38,428.7,11.4,5_1,1_8
1410,4.91,429.4,34.2,9_2,3_4
1411,4.63,429.4,9.0,10_3,3_7
1413,4.22,430.1,11.2,5_1,1_8
1414,4.45,430.6,11.2,5_1,1_8
1415,4.34,430.7,15.6,9_2,2_6
1416,4.36,430.7,13.5,9_2,2_6
1419,4.79,431.1,11.6,9_2,2_6
1420,4.87,431.2,14.4,7_3,3_4
1426,4.85,432.1,11.7,5_1,1_8
1428,4.34,432.8,11.3,9_2,2_6
1429,4.46,432.8,13.4,9_2,2_6
1430,4.4,432.9,14.6,9_2,2_6
1432,4.48,433.1,62.7,7_3,1_8
1433,4.35,433.2,11.6,5_1,1_8
1434,4.55,433.4,10.2,5_1,1_8
1435,4.91,433.8,32.9,9_2,3_4
1438,6.6,434.7,230.1,4_3,2_6
1440,4.4,435.3,10.9,5_1,1_8
1443,4.39,435.6,13.2,9_2,2_6
1444,4.3,436.0,10.0,5_1,1_8
1445,4.41,436.3,13.9,9_2,2_6
1446,4.21,436.8,12.8,7_3,3_10
1448,4.23,437.4,10.3,5_1,1_8
1449,4.43,437.4,9.9,5_1,1_8
1456,4.79,438.4,14.0,9_2,2_6
1458,4.79,438.9,9.7,10_3,3_7
1460,5.12,439.6,142.5,7_3,2_6
1461,4.29,439.8,9.7,5_1,1_8
1465,4.32,440.2,9.9,5_1,1_8
1466,4.44,440.4,12.5,9_2,2_6
1468,5.84,440.8,45.8,5_1,3_4
1470,4.58,441.6,11.7,9_2,2_6
1472,4.46,441.8,9.9,5_1,1_8
1473,4.67,442.0,13.4,9_2,2_6
1474,5.18,442.0,11.3,7_3,3_10
1479,4.76,442.8,33.3,5_1,2_3
1480,4.21,442.9,9.9,5_1,1_8
1481,4.69,443.1,12.6,10_3,3_4
1484,4.55,444.0,12.2,9_2,2_6
1485,4.58,444.0,12.4,9_2,2_6
1486,4.61,444.0,14.1,9_2,2_6
1489,4.49,444.4,9.6,5_1,1_8
1491,4.44,445.0,9.1,5_1,1_8
1493,4.57,445.1,80.7,10_3,3_4
1494,4.77,445.4,69.8,7_3,3_10
1497,4.43,445.8,12.7,9_2,2_6
1499,4.44,446.1,128.8,5_1,3_4
1500,5.1,446.1,53.1,0_1,3_4
1505,5.33,447.4,51.0,4_3,3_7
1512,4.48,448.9,12.2,9_2,2_6
1513,5.59,449.1,61.9,5_1,1_8
1514,4.8,449.2,69.6,7_3,3_10
1515,4.55,449.8,12.3,9_2,2_6
1517,13.3,450.2,80.4,10_3,3_7
1520,4.04,451.3,12.4,9_2,2_6
1527,5.39,453.3,67.5,7_3,3_10
1529,6.29,453.6,59.0,7_3,3_4
1532,4.53,454.0,193.6,9_2,1_0
1545,5.0,457.4,127.6,5_1,2_6
1547,4.99,457.5,122.8,7_3,1_8
1557,5.1,460.1,206.1,4_3,2_6
1558,4.81,460.1,51.4,9_2,2_6
1563,4.88,461.4,53.1,9_2,2_6
1580,4.79,464.5,37.2,0_1,3_4
1592,5.18,468.8,35.3,4_3,3_7
1597,4.99,469.5,34.9,0_1,3_4
1606,5.51,472.0,34.8,4_3,3_7
1616,5.21,475.0,16.5,4_3,3_10
1619,4.88,476.3,11.8,2_3,3_4
1625,4.59,478.5,57.4,10_3,3_4
1644,4.87,483.0,35.6,9_2,2_6
1663,5.45,487.7,89.3,4_3,1_8
1666,5.12,488.1,27.3,9_2,2_6
1680,5.11,493.4,22.6,7_3,3_4
1683,4.83,493.6,45.0,10_3,3_7
1684,5.1,493.6,175.6,4_3,2_6
1709,4.84,499.1,59.1,9_2,3_4
1712,5.45,500.4,10.5,5_1,1_8
1717,4.36,501.4,12.0,5_1,1_8
1721,5.06,501.7,168.8,4_3,2_6
1724,12.42,502.2,38.5,9_2,2_6
1727,4.66,502.4,16.6,9_2,2_6
1736,4.4,503.8,11.9,5_1,1_8
1739,4.41,504.3,13.7,9_2,2_6
1740,5.06,504.3,174.0,4_3,2_6
1742,4.38,505.3,11.0,5_1,1_8
1746,4.31,506.0,77.6,10_3,1_0
1749,4.51,506.4,13.2,9_2,2_6
1751,4.9,506.5,60.4,4_3,3_7
1755,4.59,508.2,18.2,9_2,2_3
1764,5.28,509.2,169.9,4_3,2_6
1767,5.45,509.3,14.8,9_2,2_6
1768,5.04,509.3,49.7,9_2,3_4
1771,5.73,509.8,11.9,5_1,1_8
1774,4.28,510.2,15.0,9_2,2_6
1776,5.03,510.4,73.6,7_3,1_8
1779,4.37,510.8,13.2,9_2,2_6
1780,4.35,511.0,9.3,5_1,1_8
1782,4.99,511.3,52.2,9_2,3_4
1786,4.91,512.5,156.6,4_3,1_8
1787,4.96,512.5,170.5,4_3,2_6
1788,4.78,512.7,12.0,5_1,1_8
1791,4.42,513.1,16.7,9_2,2_6
1792,4.28,513.1,12.8,9_2,2_6
1793,5.09,513.4,62.7,5_1,3_4
1794,4.25,513.4,14.3,9_2,2_6
1797,5.11,513.8,44.4,0_1,1_8
1798,4.76,513.9,17.2,7_3,3_10
1804,4.5,514.6,12.2,5_1,1_8
1806,4.43,515.1,9.7,5_1,1_8
1809,4.56,515.2,13.3,9_2,2_6
1811,4.73,515.7,43.2,9_2,1_0
1813,4.45,516.0,14.0,9_2,2_6
1818,4.77,516.7,16.1,7_3,3_10
1819,3.88,516.9,11.9,5_1,1_8
1821,4.31,517.3,13.5,9_2,2_6
1823,4.7,517.6,15.8,9_2,2_6
1825,4.82,517.8,23.0,10_3,3_7
1826,5.3,517.9,10.7,5_1,1_8
1829,5.15,518.6,66.2,0_1,2_6
1832,4.33,519.3,13.9,9_2,2_6
1834,4.23,519.6,16.4,9_2,2_6
1835,4.33,519.7,11.0,5_1,1_8
1840,5.03,520.9,74.0,9_2,3_7
1841,4.58,521.0,12.7,9_2,2_6
1845,4.24,521.9,9.1,5_1,1_8
1848,5.91,522.5,13.3,9_2,2_6
1849,4.92,522.5,61.6,9_2,3_7
1850,4.95,522.6,39.4,9_2,1_0
1852,4.7,522.8,19.8,9_2,2_6
1853,4.77,523.3,19.7,10_3,3_7
1855,4.87,523.7,12.8,9_2,2_6
1860,4.98,524.7,39.3,9_2,1_0
1861,5.27,524.7,37.6,9_2,3_4
1863,4.4,525.0,10.2,5_1,1_8
1864,4.58,525.0,11.9,9_2,2_6
1865,4.19,525.1,19.7,9_2,2_6
1871,5.67,526.2,21.0,10_3,3_7
1873,4.85,526.8,34.5,2_3,3_4
1875,4.66,526.9,8.3,5_1,1_8
1876,4.48,527.0,11.6,9_2,2_6
1879,4.44,527.6,18.9,9_2,2_6
1882,4.69,527.9,10.2,5_1,1_8
1884,4.27,528.0,13.2,9_2,2_6
1885,5.11,528.4,35.6,9_2,3_4
1888,3.59,528.9,11.6,9_2,2_6
1893,4.24,530.2,10.0,5_1,1_8
1894,4.21,530.2,18.6,9_2,2_6
1897,4.05,531.1,13.7,9_2,2_6
1900,5.07,531.6,34.0,9_2,3_4
1903,4.04,532.3,12.9,9_2,2_6
1905,4.49,532.9,13.5,9_2,2_6
1907,12.05,533.0,51.8,4_3,3_10
1910,4.67,533.1,18.2,9_2,2_6
1918,4.57,534.3,12.6,9_2,2_6
1919,11.28,534.4,7.4,9_2,node2
1921,4.31,534.5,20.7,5_1,1_0
1924,3.89,535.2,20.3,9_2,2_6
1930,4.29,536.3,61.8,5_1,1_8
1933,4.3,536.7,16.0,9_2,2_6
1935,4.5,536.8,13.3,9_2,2_6
1938,5.01,537.8,30.8,9_2,3_4
1939,4.45,538.4,21.8,9_2,2_6
1941,4.95,538.9,33.3,5_1,1_0
1943,4.29,539.5,57.7,5_1,1_8
1945,4.08,539.7,14.0,9_2,2_6
1949,4.7,540.6,26.5,9_2,3_4
1950,5.07,540.7,48.9,0_1,2_6
1951,12.37,540.7,38.3,node2,2_6
1954,4.6,540.9,57.6,5_1,1_8
1956,5.54,541.0,72.7,10_3,3_7
1959,4.46,541.5,14.1,9_2,2_6
1962,5.94,542.0,24.1,9_2,2_6
1964,4.99,542.7,27.4,9_2,3_4
1967,4.36,543.0,58.1,5_1,1_8
1968,4.44,543.0,80.0,7_3,3_4
1969,5.43,543.1,62.0,9_2,2_6
1972,5.22,543.5,69.4,10_3,3_4
1974,5.02,544.2,55.9,9_2,2_6
1978,5.02,544.8,57.4,5_1,1_8
